Graph 0,tahminler
8651264.0,1
17147136.0,1
25526016.0,1
33471488.0,1
41257728.0,1
48694528.0,1
55854080.0,1
62781184.0,1
69318912.0,1
75659776.0,1
81577728.0,1
87080448.0,1
92343808.0,1
97083136.0,1
101768960.0,1
105905408.0,1
109789184.0,1
113380608.0,1
116742400.0,1
119645440.0,1
122198272.0,1
124570112.0,1
126693632.0,1
128508672.0,1
130169088.0,1
131723520.0,1
133072640.0,1
134578944.0,1
135734528.0,1
136834048.0,1
138332928.0,1
139012864.0,1
140191232.0,1
141138432.0,1
141890816.0,1
142685952.0,1
114108672.0,1
109055488.0,1
103824640.0,1
97900032.0,1
91656448.0,1
85000448.0,1
78198272.0,1
70946304.0,1
63610880.0,1
55892736.0,1
48213760.0,1
40168704.0,1
32258304.0,1
24118784.0,1
15857408.0,1
7715840.0,1
-222720.0,1
-8600576.0,1
-16493568.0,1
-24133376.0,1
-31331840.0,1
-38396928.0,1
-44879104.0,1
-50790912.0,1
-56109312.0,1
-60922368.0,1
-65146368.0,1
-68704256.0,1
-71819264.0,1
-74210560.0,1
-75972096.0,1
-77057024.0,1
-77860608.0,1
-78156800.0,1
-77959936.0,1
-77416960.0,1
-76589824.0,1
-75557888.0,1
-74371072.0,1
-72813568.0,1
-71395072.0,1
-69798400.0,1
-68370688.0,1
-66838016.0,1
-65304832.0,1
-64032000.0,1
-62771712.0,1
-61564416.0,1
-60296192.0,1
-59362816.0,1
-58221568.0,1
-57466624.0,1
-56541440.0,1
-55806464.0,1
-55127040.0,1
-54476288.0,1
-35284480.0,1
-32051968.0,1
-28416256.0,1
-24104448.0,1
-19623680.0,1
-14663424.0,1
-9164800.0,1
-3120128.0,1
3269888.0,1
9818624.0,1
16479232.0,1
23901184.0,1
31115776.0,1
38510848.0,1
46358272.0,1
53980416.0,1
61970432.0,1
69715200.0,1
77465344.0,1
85053184.0,1
92407552.0,1
99473408.0,1
106524416.0,1
113107200.0,1
119157248.0,1
124682496.0,1
129529344.0,1
133938688.0,1
137522432.0,1
140329472.0,1
142273536.0,1
143326976.0,1
143412480.0,1
142894848.0,1
141725696.0,1
139988224.0,1
137507584.0,1
135464960.0,1
133305600.0,1
131237376.0,1
129636864.0,1
128182272.0,1
127074560.0,1
126095104.0,1
125779200.0,1
125989120.0,1
126772992.0,1
127785472.0,1
128846080.0,1
130108672.0,1
131354112.0,1
132611072.0,1
141985024.0,1
140214784.0,1
137696000.0,1
134429952.0,1
130864384.0,1
127203584.0,1
123452160.0,1
120093696.0,1
116833280.0,1
113846528.0,1
110402816.0,1
106819840.0,1
103213056.0,1
99238656.0,1
95203584.0,1
91296512.0,1
87471616.0,1
83588096.0,1
79840256.0,1
75812864.0,1
71067904.0,1
66147328.0,1
60596992.0,1
54397184.0,1
48050176.0,1
41298432.0,1
34028288.0,1
26141952.0,1
17586432.0,1
8899072.0,1
-546304.0,1
-11073024.0,1
-22014976.0,1
-33398528.0,1
-45228800.0,1
-57486336.0,1
-70610688.0,1
-83952384.0,1
-97715712.0,1
-111923968.0,1
-126526720.0,1
-141280768.0,1
-155727360.0,1
-170409472.0,1
-185401344.0,1
-199223808.0,1
-212945920.0,1
-226160384.0,1
-238723072.0,1
-250193408.0,1
-283579392.0,1
-278616576.0,1
-272623104.0,1
-266296064.0,1
-259026944.0,1
-251836672.0,1
-244241920.0,1
-236315136.0,1
-228594432.0,1
-220986880.0,1
-213608960.0,1
-206593536.0,1
-199884288.0,1
-193521152.0,1
-188017664.0,1
-183115008.0,1
-179184640.0,1
-176120576.0,1
-174012672.0,1
-172523264.0,1
-172013056.0,1
-172104192.0,1
-173056000.0,1
-174596096.0,1
-176649216.0,1
-179277056.0,1
-182087936.0,1
-185359616.0,1
-188684288.0,1
-191980032.0,1
-195186688.0,1
-198210560.0,1
-200740608.0,1
-202823424.0,1
-204144384.0,1
-119342336.0,1
-107584768.0,1
-95547904.0,1
-82915584.0,1
-70104320.0,1
-57334528.0,1
-44255232.0,1
-31296768.0,1
-18721536.0,1
-6090496.0,1
5455104.0,1
16067840.0,1
26203136.0,1
35260160.0,1
43854336.0,1
51247616.0,1
57680896.0,1
63448832.0,1
67920128.0,1
71161344.0,1
73688064.0,1
74879232.0,1
75138048.0,1
74422784.0,1
72676352.0,1
70226432.0,1
67000064.0,1
62868480.0,1
58114304.0,1
52953856.0,1
47328512.0,1
41191424.0,1
34906880.0,1
28404480.0,1
21785088.0,1
15175680.0,1
8647936.0,1
2546944.0,1
-3384576.0,1
-9601280.0,1
-15253248.0,1
-20216832.0,1
-24941056.0,1
-28668928.0,1
-31872000.0,1
-34387968.0,1
-35920384.0,1
-36813568.0,1
-36743680.0,1
-36290560.0,1
-34873088.0,1
-32905984.0,1
-30137344.0,1
-26866432.0,1
-22937088.0,1
-18640128.0,1
-14000128.0,1
-8992768.0,1
